檔名,中文,客語漢字,客語拼音,標籤,備註
ZM203P2027_081.wav,她丈夫很英俊你太太很漂亮,佢个丈夫真緣投你夫娘真靚,gui53 e55 chong55 bu11 zhin11 rhen53 tio53 hen53 bu11 ngiong53 zhin11 ziang11,,
ZM203P2027_082.wav,天氣多變要穿暖一點,天氣輒變愛著較燒暖一兜,teen11 ki31 ciab43 bien31 oi31 zhoo24 ka31 shio11 non11 rhid24 dio11,,
ZM203P2027_083.wav,便利商店可以買到很多東西,便利商店會用買著真多物件,pien55 li55 shong11 deem31 bbue55 rhung55 mi11 choo55 zhin11 doo11 mi55 kien55,,
ZM203P2027_084.wav,下次再約時間一起閒聊,後次擺正擱約時間共下坐坐个,heu55 ci31 bai31 zhang31 goo24 rhio24 shi53 geen11 kiung55 ha55 coo11 coo11 e11,,
ZM203P2027_085.wav,中午很熱不可以出去運動,當晝頭恁誠熱毋好出去運動,dong11 zhiu31 teu53 ngin31 shang53 ngied43 m55 hoo31 chid24 kui31 bbin55 tung55,,
ZM203P2027_086.wav,我正在講電話請等一下,𠊎當在講電話請等一下,ngai53 dong11 da55 gong31 teen55 bba55 ciang31 den31 rhid24 ha55,,
ZM203P2027_087.wav,我準備好了可以開始了,𠊎準備好啊會用開始啊,ngai53 zhin31 pi55 hoo31 a31 bbue55 rhung55 koi11 shi31 a31,,
ZM203P2027_088.wav,這件事情被你講得這麼輕鬆,這件事情得你講到恁輕可,li24 kien55 su55 cin53 ded24 hen53 gong31 doo31 ngin31 kiang11 koo31,,
ZM203P2027_089.wav,抱歉打擾了你要趕時間嗎,歹勢攪吵啊你愛攔時間無,painn31 she31 gio55 cau31 a31 hen53 oi31 lan53 shi53 geen11 mo53,,
ZM203P2027_090.wav,有什麼問題嗎你想得真周到,有麼个問題無你想到真周到,rhiu11 bboo24 gai31 mun55 te53 mo53 hen53 siong55 doo31 zhin11 zhiu11 doo31,,
ZM203P2027_091.wav,最近忙什麼他要照顧他媽媽,這站無閒麼个佢愛照顧佢个阿依,li24 cam55 mo53 heen53 bboo24 gai31 gui53 oi31 zhio31 gu31 gui53 e55 a11 i55,,
ZM203P2027_092.wav,客家人用福菜當伴手禮相當受歡迎,客人用覆菜做等路真受歡迎,ka24 ngin53 rhiung55 pu24 coi31 zoo31 den31 lu55 zhin11 shiu55 fan11 rhiang53,,
ZM203P2027_093.wav,爺爺有糖尿病不能吃太甜,阿公有糖尿病毋會用食傷甜,a11 gung11 rhiu11 tong53 neeu55 piang55 m11 bboi55 rhung55 shied43 shiong55 teem53,,
ZM203P2027_094.wav,把燈關掉麻煩你開燈好嗎,拁電火關莫麻煩你開電火好無,ga11 teen55 foo31 guan11 mai31 ma53 fan53 hen53 koi11 teen55 foo31 hoo31 mo53,,
ZM203P2027_095.wav,快點快來不及了開車要小心,較緊个討赴毋會著啊駛車愛細義,ka31 gin31 e55 too31 fu31 m11 bboi55 choo55 a31 su31 cha11 oi31 se31 ngi55,,
ZM203P2027_096.wav,請問貴姓我姓黃名叫大民,請問貴姓𠊎姓黃名大民,ciang31 mun31 gui31 siang31 ngai53 siang31 bbong53 miang53 tai55 min53,,
ZM203P2027_097.wav,生日快樂身體健康萬事如意,生日快樂身體康健萬事如意,sang11 ngid24 kuai31 loo55 shin11 te31 kong11 kien55 bban55 su55 rhu53 rhi31,,
ZM203P2027_098.wav,客家文化園區經常舉辦展覽活動,客家文化園區輒輒舉辦展覽活動,ka24 ga11 bbun53 fa31 bbien53 ki11 ciab43 ciab43 gi31 pien55 deen31 lam31 ua55 tung55,,
ZM203P2027_099.wav,你今天穿得好漂亮要去喝喜酒是嗎,你今日著到恁派頭討去食酒係無,hen53 gin11 ngid24 zhoo24 doo31 ngin31 pai31 tio53 too31 kui31 shied43 ziu31 he55 mo53,,
ZM203P2027_100.wav,你遲到了請稍等我馬上過來,你傷慢到位啊請等一下𠊎黏時過來,hen53 shiong55 meen55 doo31 bbi55 a31 ciang31 den31 rhid24 ha55 ngai53 neem53 shi53 goo31 loi53,,
ZM203P2027_101.wav,我要睡午覺很晚了可以上床睡覺了,𠊎愛睡當晝恁暗啊好去睡啊,ngai53 oi31 fe55 dong11 zhiu31 ngin31 am31 a31 hoo31 kui31 fe55 a31,,
ZM203P2027_102.wav,祖父在房間裡休息弟弟在客廳看電視,阿公在間底歇睏阿弟在廳下䀴電視,a11 gung11 da55 geen11 de31 hied24 kun31 a11 te11 da55 ten11 ha11 ngiang31 teen55 shi55,,
ZM203P2027_103.wav,媽媽在廚房煮飯我每天早上掃地,阿依在灶下煮飯𠊎逐晨早掃泥下,a11 i55 da55 zoo31 ha11 zhi31 puan55 ngai53 tu55 chin53 zoo31 soo31 ni53 ha11,,
ZM203P2027_104.wav,有客人在不可以打赤膊進入室內請脫鞋,有人客來毋好打赤膊入來屋內請脫鞋,rhiu11 ngin53 ka24 loi53 m55 hoo31 da31 cha24 boo24 ngib43 loi53 bbu24 nui55 ciang31 tod24 he53,,
ZM203P2027_105.wav,搭火車要先買票請問高鐵車站怎麼走,坐火車愛先打車票請問高鐵車頭仰子行,coo11 foo31 cha11 oi31 sien11 da31 cha11 pio31 ciang31 mun31 goo11 teed24 cha11 tio53 ngiong55 zu31 hang53,,
ZM203P2027_106.wav,我尿急想要小便妹妹在浴室洗澡,𠊎尿急想討屙尿阿妹在洗浴間洗膴身,ngai53 niau55 gib24 siong55 too31 oo11 niau55 a11 moi31 da55 se31 rhu55 geen11 se31 bbu11 shin11,,
ZM203P2027_107.wav,叫計程車不必煩惱停車問題搭飛機比較快,喊計程車毋使擘心歇車問題坐飛行機較緊,heem31 ge31 chin53 cha11 m55 su31 ba24 sim11 hied24 cha11 mun55 te53 coo11 bui11 hing53 gi11 ka31 gin31,,
ZM203P2027_108.wav,我每天騎腳踏車上班騎機車要戴安全帽,𠊎逐日騎鐵馬上班騎機車愛戴安全帽,ngai53 tu55 ngid24 ki53 teed24 ma11 shong55 ban11 ki53 gi11 cha11 oi31 doi31 on11 cien53 hm55,,
ZM203P2027_109.wav,老人搭公車免費搭捷運不可以吃東西,老儕坐巴士毋使錢坐捷運毋會用食物件,loo31 sa53 coo11 ba55 su31 m55 su31 cien53 coo11 ciab43 bbin55 m11 bboi55 rhung55 shied43 mi55 kien55,,
ZM203P2027_110.wav,冬天穿毛衣很暖和夏天很熱穿短袖就可以了,寒天著膨線衫真燒暖熱天真熱著短衫袖就會用啊,hon53 teen11 zhoo24 pong31 sien31 sam11 zhin11 shio11 non11 ngied43 teen11 zhin11 ngied43 zhoo24 don31 sam11 ciu55 ciu55 bbue55 rhung55 a31,,
ZM203P2027_111.wav,前面向右轉就到高雄市政府了,頭前斡正手裡即到位高雄市政府啊,tio53 cien53 uod43 zhin31 shiu31 le31 cid43 doo31 bbi55 goo11 hiung53 chi31 zhin31 fu31 a31,,
ZM203P2027_112.wav,他住哪裡他住金門縣,佢蹛哪位佢蹛金門縣,gui53 dai31 ni55 bbi55 gui53 dai31 gim11 mun53 bbien55,,
ZM203P2027_113.wav,會議地點在哪裡會議地點在臺東縣臺東市,會議地點在哪位會議地點在臺東縣臺東市,fue55 ngi55 ti55 deem31 da55 ni55 bbi55 fue55 ngi55 ti55 deem31 da55 tai53 dung11 bbien55 tai53 dung11 shi55,,
ZM203P2027_114.wav,這張照片是什麼地方這是花蓮縣萬榮鄉,這張相片係麼个所在這係花蓮縣萬榮鄉,li24 zhong11 siong31 peen31 he55 bboo24 gai31 su31 cai55 lia24 he55 fa11 lien53 bbien55 bban55 bbin53 hiong11,,
ZM203P2027_115.wav,請問臺北市信義區公所在幾樓在八樓,請問臺北市信義區公所在幾多樓在八樓,ciang31 mun31 tai53 bed24 shi55 sin31 ngi55 ki11 gung11 soo31 da55 gi31 doo11 lio53 da55 beed24 lio53,,
ZM203P2027_116.wav,我要回鳳林火車停在第二月台要快點去才不會趕不上,𠊎討轉鳳林火車歇在第二月台愛較緊去正毋會赴毋會著,ngai53 too31 zhen31 fung55 lim53 foo31 cha11 hied24 da55 ti55 ngi55 ngied43 tai53 oi31 ka31 gin31 kui31 zhang31 m11 bboi55 fu31 m11 bboi55 choo55,,
ZM203P2027_117.wav,哥哥後天要坐三點的火車去池上出差,阿哥後日討坐三點个火車去池上出差,a11 goo11 heu55 ngid24 too31 coo11 sam11 deem31 e55 foo31 cha11 kui31 chi53 shong55 chid24 ca11,,
ZM203P2027_118.wav,明天我要坐首班車去新營車到站了趕快下車,韶日𠊎討坐頭枋車去新營車到站啊較緊落車,shio53 ngid24 ngai53 too31 coo11 tio53 bong11 cha11 kui31 sin11 rhiang53 cha11 doo31 cam55 a31 ka31 gin31 loo55 cha11,,
ZM203P2027_119.wav,請問屏東火車站怎麼去我帶你去火車站好多人喔,請問屏東火車頭仰子去𠊎渡你去火車頭足多人哦,ciang31 mun31 pin53 dung11 foo31 cha11 tio53 ngiong55 zu31 kui31 ngai53 tu31 hen53 kui31 foo31 cha11 tio53 ziu24 doo11 ngin53 o11,,
ZM203P2027_120.wav,接駁車會從本院開到田中火車站在本院大門口乘車,接送車會對本院駛到田中火車頭在本院大門口坐車,ziab24 sung31 cha11 bbue55 doi31 bun31 ngien55 su31 doo31 teen53 zhung11 foo31 cha11 tio53 da55 bun31 ngien11 tai55 mun53 kio31 coo11 cha11,,
ZM203P2027_121.wav,請問你從哪裡來我從臺北來,請問你對哪位來𠊎對臺北來,ciang31 mun31 hen53 doi31 ni55 bbi55 loi53 ngai53 doi31 tai53 bed24 loi53,,
ZM203P2027_122.wav,我爸準備去要臺中出差一個半月,𠊎爸準備討去臺中出差個半月,ngai53 ba55 chin55 pi55 too31 kui31 tai53 zhung11 chid24 ca11 goo24 ban31 ngied43,,
ZM203P2027_123.wav,他一個人去彰化打拚他媽媽很擔心,佢一個人去彰化打拚厥依真擘心,gui53 rhid24 gai31 ngin53 kui31 zhong11 fa31 da31 biang31 gua55 i55 zhin11 ba24 sim11,,
ZM203P2027_124.wav,請問你有來過屏東嗎,請問你識來過屏東無,ciang31 mun31 hen53 shid24 loi53 goo31 pin53 dung11 mo53,,
ZM203P2027_125.wav,請問我要去高雄該怎麼轉車,請問𠊎討去高雄愛仰子盤車,ciang31 mun31 ngai53 too31 kui31 goo11 hiung53 oi31 ngiong55 zu31 pan53 cha11,,
ZM203P2027_126.wav,請問到基隆要開多久要開兩小時,請問到位基隆愛駛幾久愛駛兩點鐘,ciang31 mun31 doo31 bbi55 ge11 liung53 oi31 su31 gi31 giu31 oi31 su31 liong31 diam31 zhung11,,
ZM203P2027_127.wav,到嘉義大約還有幾公里還有六公里,到位嘉義大約猶有幾*多公里猶有六公里,doo31 bbi55 ga11 ngi55 tai55 rhio24 ia53 rhiu11 gi31 *doo11 gio33 gung11 li31 ia53 rhiu11 liu24 gung11 li31,,
ZM203P2027_128.wav,阿松哥六月六日要娶妻,阿松哥六月初六討渡夫娘,a11 sung53 goo11 liu24 ngied43 cu11 liu24 too31 tu31 bu11 ngiong53,,
ZM203P2027_129.wav,十月二十四日學校放假那天去看電影好嗎,十月二十四學校放假遐日來去䀴電影好無,shib43 ngied43 ngi55 shib43 si31 hoo55 hau55 biong31 ga31 ga24 ngid24 loi53 kui31 ngiang31 teen55 rhiang31 hoo31 mo53,,
ZM203P2027_130.wav,根據政府的公告十二月十一日放假不過前一個週六要上班,根據政府个公告十二月十一放假毋過進前一個禮拜六愛上班,gin11 gi31 zhin31 fu31 e55 gung11 goo31 shib43 ngi55 ngied43 shib43 rhid24 biong31 ga31 m55 goo31 zin31 cien53 rhid24 gai31 le31 bai31 liu24 oi31 shong55 ban11,,
ZM203P2027_131.wav,王先生你掛的是一月十五日上午的門診,王先生你掛个係一月十五晨早个門診,ong53 sien11 sen11 hen53 gua31 e55 he55 rhid24 ngied43 shib43 m31 chin53 zoo31 e55 mun53 zhin31,,
ZM203P2027_132.wav,報名從六月十四日開始到七月二十四日為止,報名對六月十四開始到七月二十四為止,boo31 miang53 doi31 liu24 ngied43 shib43 si31 koi11 shi31 doo31 cid24 ngied43 ngi55 shib43 si31 bbui53 zhi31,,
ZM203P2027_133.wav,客語認證的認證日是二月二十七日,客語認證个認證日期係二月二十七,ka24 ngi31 ngin55 zhin31 e55 ngin55 zhin31 ngid24 ki53 he55 ngi55 ngied43 ngi55 shib43 cid24,,
ZM203P2027_135.wav,今年客家桐花祭從四月十三日開始到五月十二日為止,今年客家桐花祭對四月十三開始到五月十二為止,gin11 neen53 ka24 ga11 tung53 fa11 ze31 doi31 si31 ngied43 shib43 sam11 koi11 shi31 doo31 m31 ngied43 shib43 ngi55 bbui53 zhi31,,
ZM203P2027_136.wav,今天是星期幾今天是星期三店裡有買一送一的活動,今日係拜幾今日係拜三店內底有買一送一个活動,gin11 ngid24 he55 bai31 gui31 gin11 ngid24 he55 bai31 sam11 deem31 nui55 de31 rhiu11 mi11 rhid24 sung31 rhid24 e55 ua55 tung55,,
ZM203P2027_137.wav,你幫我看一下今天是星期幾今天是星期四,你拁𠊎䀴下今日係拜幾今日係拜四,hen53 ga11 ngai53 ngiang31 ha55 gin11 ngid24 he55 bai31 gui31 gin11 ngid24 he55 bai31 si31,,
ZM203P2027_138.wav,下星期四要考試你知道嗎下星期三要記得交作業,後禮拜四愛考試你知無後禮拜三愛記得交作業,heu55 le31 bai31 si31 oi31 koo31 chi31 hen53 di11 mo53 heu55 le31 bai31 sam11 oi31 ki31 ded24 gau11 zoo24 ngiab43,,
ZM203P2027_139.wav,上星期一整天下雨,上禮拜一歸日落雨,shong55 le31 bai31 rhid24 gui11 ngid24 loo55 bbu31,,
ZM203P2027_140.wav,星期二他請假你代理一下好嗎,拜二佢請假你代理一下好無,bai31 ngi55 gui53 ciang31 ga31 hen53 toi55 li31 rhid24 ha55 hoo31 mo53,,
ZM203P2027_141.wav,我沒戴手錶不知道現在幾點現在是三點,𠊎無戴手錶毋知這下幾*多點這滿係三點,ngai53 mo53 doi31 shiu31 bio31 m11 di11 li24 ha55 gi31 *doo11 gio33 deem31 li24 man31 he55 sam11 deem31,,
ZM203P2027_142.wav,你明天要坐幾點的火車我要坐六點的火車,你韶日討坐幾*多點个火車𠊎討坐六點个火車,hen53 shio53 ngid24 too31 coo11 gi31 *doo11 gio33 deem31 e55 foo31 cha11 ngai53 too31 coo11 liu24 deem31 e55 foo31 cha11,,
ZM203P2027_143.wav,今天五點要開會喔請幫忙準備資料,今日五點愛開會哦請鬥準備資料,gin11 ngid24 m31 deem31 oi31 koi11 fui55 o11 ciang31 deu31 zhin31 pi55 zu11 liau55,,
ZM203P2027_144.wav,兩點可以開飯了飯前要先洗手飯後要漱口,兩點好食飯啊食飯前愛先洗手食飯後愛湯嘴,liong31 deem31 hoo31 shied43 pon55 a31 shied43 pon55 cien53 oi31 sien11 se31 shiu31 shied43 pon55 heu55 oi31 tong11 zhe31,,
ZM203P2027_145.wav,超過十一點還沒到就算遲到了,超過十一點猶吂到即算慢到啊,chio11 goo31 shib43 rhid24 deem31 ia53 mang11 doo31 cid43 son31 meen55 doo31 a31,,
ZM203P2027_146.wav,我每天九點要看電視新聞別一直看電視眼睛會看壞掉,𠊎逐日九點愛䀴電視新聞毋好直直䀴電視目珠會䀴壞去,ngai53 tu55 ngid24 giu31 deem31 oi31 ngiang31 teen55 shi55 sin11 bbun53 m55 hoo31 chid43 chid43 ngiang31 teen55 shi55 mud24 zhi11 bbue55 ngiang31 fai55 kui31,,
ZM203P2027_147.wav,天氣變好了你等一下有空嗎七點一起去運動,天氣變好啊你等下有閒無七點作垺來去運動,teen11 ki31 bien31 hoo31 a31 hen53 den31 ha55 rhiu11 heen53 mo53 cid24 deem31 zoo24 pu53 loi53 kui31 bbin55 tung55,,
ZM203P2027_148.wav,現在幾點了十點大家一起去聚餐,這下幾*多點啊十點大家作垺來去打鬥四,li24 ha55 gi31 *doo11 gio33 deem31 a31 shib43 deem31 tai55 ga11 zoo24 pu53 loi53 kui31 da31 dio31 si31,,
